"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"8600000US98116","ZCTA5 98116","12997","447","1.7","0.7","0.9","0.6","6.2","1.6","3.8","1.1","6.0","1.5","12.4","2.3","10.5","2.4","18.7","2.8","17.4","2.6","22.4","2.3","121208","7755","146749","8138","23.4","(X)","(X)","(X)","(X)","(X)","6923","378","0.0","0.5","0.5","0.6","1.7","1.1","2.0","1.2","3.8","1.5","7.5","2.4","9.3","2.8","17.5","3.6","22.9","4.0","34.9","3.8","165323","5949","190004","12920","(X)","(X)","25.9","(X)","(X)","(X)","6050","337","0.0","0.6","0.3","0.4","0.6","0.7","1.4","1.0","2.9","1.4","5.4","1.9","7.1","2.5","17.3","3.8","25.8","4.5","39.2","4.2","175737","5580","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6074","409","3.7","1.6","1.4","0.9","11.3","3.1","5.9","2.3","9.5","2.9","19.7","4.1","12.1","3.9","19.1","4.3","9.9","3.4","7.6","2.2","72471","6742","94050","7349","(X)","(X)","(X)","(X)","19.7","(X)"
"8600000US98117","ZCTA5 98117","14965","386","2.4","0.9","2.0","0.7","3.3","1.0","3.7","1.1","6.8","1.6","11.9","2.1","10.7","1.5","23.1","2.9","11.9","1.9","24.2","2.5","116871","8981","153544","8705","22.5","(X)","(X)","(X)","(X)","(X)","9268","477","1.7","1.0","1.1","0.9","1.2","1.0","1.6","0.8","4.4","1.7","9.2","2.2","10.2","1.7","23.3","3.5","13.8","2.2","33.6","3.6","145838","6076","188225","13462","(X)","(X)","22.2","(X)","(X)","(X)","7981","463","0.6","0.5","0.0","0.4","0.1","0.1","1.4","0.9","3.3","1.5","6.8","1.9","10.6","1.8","24.0","3.9","15.5","2.4","37.7","4.0","160431","10630","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5697","400","3.6","1.6","3.7","1.8","6.7","2.3","7.2","2.8","11.1","3.5","19.0","3.9","11.8","2.8","22.1","4.8","6.7","2.0","8.1","2.5","73546","5932","92634","6986","(X)","(X)","(X)","(X)","22.3","(X)"
"8600000US98118","ZCTA5 98118","17318","361","7.3","1.5","3.8","1.1","4.8","1.3","7.1","1.4","10.0","2.1","14.3","2.1","11.2","1.8","19.3","2.2","10.7","1.8","11.5","1.7","82216","6750","106475","5968","31.6","(X)","(X)","(X)","(X)","(X)","11046","463","3.7","1.6","2.6","1.2","4.6","1.5","5.1","1.7","10.5","2.4","12.6","2.1","12.6","2.2","22.0","2.8","13.1","2.3","13.2","2.2","97002","6548","119329","8701","(X)","(X)","34.0","(X)","(X)","(X)","7572","427","2.9","1.7","2.2","1.4","1.7","0.9","5.0","2.4","6.6","2.3","10.5","2.5","11.9","2.4","25.0","3.5","16.6","3.2","17.6","2.9","117353","8093","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6272","425","13.8","3.7","6.2","2.1","6.0","2.4","10.7","2.7","10.6","3.1","17.1","4.2","9.5","2.5","14.1","3.2","5.4","1.8","6.8","2.0","52559","3843","78500","8845","(X)","(X)","(X)","(X)","27.4","(X)"
"8600000US98119","ZCTA5 98119","12769","514","3.6","1.5","3.3","1.8","3.7","1.3","4.6","1.6","10.8","2.1","12.7","2.1","12.8","2.6","17.9","2.8","9.3","1.9","21.3","2.5","96768","7571","143190","11414","21.3","(X)","(X)","(X)","(X)","(X)","5128","383","1.1","0.9","1.2","1.4","0.6","0.7","1.6","1.2","5.1","2.3","6.8","2.4","13.0","4.7","16.9","4.2","14.4","3.9","39.3","5.0","163514","16839","221997","26300","(X)","(X)","22.6","(X)","(X)","(X)","4461","325","0.5","0.7","0.4","0.5","0.0","0.8","1.1","1.0","2.8","1.6","6.7","2.5","12.2","4.7","18.7","4.7","15.8","4.4","41.9","5.4","169375","25869","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7641","533","5.2","2.3","5.3","3.0","5.8","2.1","6.5","2.5","15.8","3.5","16.0","3.1","12.5","2.6","18.2","3.5","5.6","1.8","8.9","2.3","64420","7786","88588","6769","(X)","(X)","(X)","(X)","19.5","(X)"
"8600000US98121","ZCTA5 98121","12943","682","7.9","2.2","4.3","2.0","5.1","2.0","5.5","2.1","6.0","2.0","9.0","2.3","7.3","2.2","20.5","3.6","11.1","2.9","23.4","4.1","115323","13137","140491","14244","16.6","(X)","(X)","(X)","(X)","(X)","3662","472","2.8","3.8","0.8","1.2","5.5","4.8","1.2","1.8","2.0","1.8","6.1","4.1","6.7","3.1","15.7","5.5","16.7","7.3","42.5","8.7","183028","24201","221810","36156","(X)","(X)","19.1","(X)","(X)","(X)","3467","468","3.0","4.0","0.8","1.3","5.4","5.3","1.3","2.0","2.1","1.9","4.8","3.6","5.3","2.7","15.1","5.5","17.2","7.6","44.9","9.1","184542","17453","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9281","690","9.8","3.1","5.7","2.7","5.1","2.2","7.1","2.7","7.4","2.6","10.2","2.9","7.5","2.7","22.4","4.4","8.9","2.9","15.9","4.4","94654","13301","108390","11344","(X)","(X)","(X)","(X)","15.7","(X)"
"8600000US98122","ZCTA5 98122","19467","632","5.9","1.4","4.9","1.3","5.9","1.3","6.4","1.2","9.6","1.6","15.0","2.1","9.6","1.7","16.3","1.9","9.1","1.7","17.3","1.9","79609","4931","118252","6566","25.0","(X)","(X)","(X)","(X)","(X)","6235","543","1.9","1.2","4.5","3.1","1.3","0.9","5.7","2.8","7.5","3.2","8.9","2.7","11.4","3.1","16.3","3.1","10.9","2.9","31.8","3.9","131753","11818","166395","13862","(X)","(X)","24.9","(X)","(X)","(X)","4617","453","0.0","0.8","1.6","1.7","1.1","1.0","2.5","1.8","5.7","2.8","7.9","3.2","9.7","3.6","18.8","3.8","13.0","3.8","39.7","4.6","158504","13895","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13232","724","8.1","1.9","5.1","1.7","7.9","1.8","7.0","1.6","10.7","2.1","17.6","2.6","9.6","1.9","15.9","2.7","8.2","1.9","10.0","2.1","65952","3522","93380","6004","(X)","(X)","(X)","(X)","24.9","(X)"
"8600000US98125","ZCTA5 98125","19283","484","6.2","1.2","3.2","1.1","6.8","1.5","6.5","1.4","12.5","1.8","16.6","1.7","13.1","1.8","16.1","2.0","8.8","1.4","10.2","1.3","70744","6061","95556","4153","27.5","(X)","(X)","(X)","(X)","(X)","9955","490","3.1","1.1","1.5","0.7","4.9","1.8","3.6","1.5","9.6","2.2","15.3","2.6","13.1","2.5","21.2","2.9","11.7","2.2","16.0","2.2","97693","6072","121006","5749","(X)","(X)","26.6","(X)","(X)","(X)","7566","459","1.6","0.8","0.9","0.7","3.6","1.9","1.5","0.8","7.5","2.2","13.3","2.8","13.2","2.8","23.9","3.2","13.9","2.7","20.5","2.9","114589","5468","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9328","515","9.7","2.3","5.2","2.0","9.1","2.0","10.2","2.5","15.7","2.9","18.2","2.5","13.2","2.8","10.8","2.6","4.4","1.7","3.5","1.4","50146","5429","65578","4868","(X)","(X)","(X)","(X)","27.2","(X)"
"8600000US98126","ZCTA5 98126","10362","462","5.1","1.8","3.2","1.2","6.0","2.1","7.3","1.9","9.0","2.0","13.2","2.5","11.5","2.3","19.8","2.8","9.9","2.1","14.9","2.2","86983","6772","111333","7117","22.5","(X)","(X)","(X)","(X)","(X)","5672","359","2.5","1.5","2.2","1.3","6.2","3.1","6.4","2.4","5.7","2.5","8.8","2.5","11.2","2.4","24.3","4.0","14.6","3.4","18.2","3.2","113030","5450","130357","9415","(X)","(X)","25.1","(X)","(X)","(X)","4165","336","1.2","1.4","0.2","0.3","1.6","1.4","3.5","2.5","5.3","2.8","8.3","2.7","10.9","2.6","27.0","4.7","18.1","3.9","23.9","4.2","131141","10538","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4690","394","8.4","3.3","4.8","2.0","5.8","2.1","8.5","3.5","13.3","3.3","18.3","4.3","12.9","3.7","15.0","3.5","4.6","1.7","8.5","2.4","59047","5667","84223","8207","(X)","(X)","(X)","(X)","19.3","(X)"
"8600000US98133","ZCTA5 98133","21650","501","5.2","1.0","5.8","1.2","8.1","1.4","7.8","1.5","10.5","1.5","15.5","1.8","14.8","2.0","17.1","2.0","7.1","1.1","8.1","1.3","68994","3866","89379","3237","30.3","(X)","(X)","(X)","(X)","(X)","10793","512","2.1","1.1","1.2","0.8","3.9","1.5","4.7","1.4","8.6","2.1","16.0","2.6","16.0","2.7","23.2","3.0","11.7","2.0","12.6","2.4","95790","3195","115675","5822","(X)","(X)","32.5","(X)","(X)","(X)","8440","512","0.6","0.6","1.0","0.9","2.4","1.4","1.7","1.0","7.4","2.2","16.0","3.0","18.0","3.3","24.6","3.2","12.9","2.3","15.4","2.9","103447","4308","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10857","577","8.4","1.8","10.5","2.4","12.4","2.1","11.8","2.9","12.3","2.5","15.7","2.5","13.4","2.8","10.4","2.2","2.1","0.9","2.9","1.0","44652","4460","60554","4802","(X)","(X)","(X)","(X)","26.5","(X)"
"8600000US98134","ZCTA5 98134","221","72","0.0","14.6","0.0","14.6","0.0","14.6","4.1","6.6","8.6","13.1","25.8","14.6","15.8","13.3","28.5","18.4","5.4","8.6","11.8","18.1","83472","45355","105632","29263","19.0","(X)","(X)","(X)","(X)","(X)","35","27","0.0","52.0","0.0","52.0","0.0","52.0","0.0","52.0","0.0","52.0","54.3","44.9","11.4","19.9","0.0","52.0","34.3","42.4","0.0","52.0","-","**","110597","59534","(X)","(X)","22.9","(X)","(X)","(X)","4","7","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","100.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","186","77","0.0","17.1","0.0","17.1","0.0","17.1","4.8","7.8","10.2","15.8","20.4","16.7","16.7","16.0","33.9","22.1","0.0","17.1","14.0","20.9","83889","52636","104697","31460","(X)","(X)","(X)","(X)","18.3","(X)"
"8600000US98136","ZCTA5 98136","7612","311","2.4","1.4","1.3","1.0","4.2","2.2","5.3","2.0","5.0","2.0","13.5","2.7","14.3","3.0","19.5","3.2","11.6","2.3","23.1","3.7","113750","13028","143156","10089","22.1","(X)","(X)","(X)","(X)","(X)","4509","318","0.9","0.9","0.7","0.7","0.0","0.8","2.9","1.9","2.7","1.5","10.9","3.3","12.9","3.3","21.1","4.4","17.1","3.6","30.8","4.4","141497","12722","174697","13550","(X)","(X)","19.9","(X)","(X)","(X)","3630","326","1.2","1.1","0.9","0.9","0.0","1.0","1.3","1.0","2.6","1.6","9.3","3.6","8.7","3.3","20.4","4.8","19.0","4.2","36.7","5.1","165625","10950","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3103","361","4.5","3.2","2.2","2.1","10.2","5.1","8.8","4.2","8.7","4.4","17.8","5.2","16.9","5.3","17.5","4.6","5.0","2.4","8.5","4.0","71230","9704","90854","11908","(X)","(X)","(X)","(X)","24.9","(X)"
"8600000US98144","ZCTA5 98144","13947","368","7.2","1.5","4.5","1.4","5.5","1.4","8.1","1.8","10.3","2.1","12.6","1.8","10.2","2.0","16.7","2.1","8.8","1.8","16.2","2.1","78414","5355","120821","10542","28.5","(X)","(X)","(X)","(X)","(X)","7206","388","4.0","2.1","2.2","1.1","3.4","1.6","7.5","2.5","9.4","3.2","11.7","2.4","11.5","2.6","15.7","2.9","10.3","2.8","24.4","3.5","100970","13241","151226","17754","(X)","(X)","28.3","(X)","(X)","(X)","5149","371","2.1","1.9","1.7","1.2","1.6","0.9","5.3","2.2","5.7","2.3","9.3","2.6","12.6","3.5","17.6","3.5","12.0","3.4","32.2","4.3","131816","12323","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6741","442","11.5","2.4","7.2","2.5","7.6","2.1","9.0","2.7","12.6","3.4","12.7","2.4","9.3","2.7","16.5","3.8","6.4","2.2","7.3","2.0","52331","8159","84708","7807","(X)","(X)","(X)","(X)","26.5","(X)"
"8600000US98146","ZCTA5 98146","10200","321","3.4","1.1","2.3","1.0","6.5","2.1","8.2","1.9","13.2","2.4","15.1","2.7","11.0","2.0","21.4","2.5","9.3","1.9","9.7","1.7","78750","7807","100923","6831","30.2","(X)","(X)","(X)","(X)","(X)","6887","382","1.8","1.3","2.7","1.5","5.3","2.3","7.5","2.5","11.6","2.7","16.3","3.7","9.4","1.7","23.1","3.2","10.5","2.1","11.8","2.4","89452","11328","110854","9257","(X)","(X)","31.0","(X)","(X)","(X)","4874","339","1.5","1.5","0.2","0.3","3.7","2.2","5.3","2.3","10.0","3.1","11.0","2.5","10.4","2.2","28.9","4.4","14.3","3.0","14.7","3.0","112083","9718","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3313","329","7.2","3.1","2.1","1.0","11.9","4.7","9.4","3.6","16.0","4.7","19.6","4.8","11.8","4.4","11.8","3.6","6.6","3.6","3.5","1.6","51645","6487","70151","7853","(X)","(X)","(X)","(X)","24.7","(X)"
"8600000US98148","ZCTA5 98148","4616","266","5.8","2.3","1.9","1.3","8.9","3.2","8.9","3.0","14.3","3.6","20.3","4.5","10.6","2.7","17.6","3.2","7.3","2.3","4.5","1.9","61455","7216","83242","7784","26.8","(X)","(X)","(X)","(X)","(X)","2913","252","2.7","2.2","1.7","1.5","6.0","3.7","6.2","3.2","10.7","3.9","25.4","5.8","10.7","3.2","21.0","4.9","9.4","3.4","6.1","2.9","71582","7215","96268","10623","(X)","(X)","28.6","(X)","(X)","(X)","2008","223","3.1","2.9","0.7","1.0","5.7","4.0","5.5","3.4","8.1","4.0","18.5","6.4","13.1","4.2","23.6","6.4","13.1","4.7","8.6","4.0","93705","12831","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1703","259","11.0","5.1","2.2","1.9","13.8","5.9","14.6","5.6","20.8","7.7","19.0","7.6","6.1","2.9","8.1","3.7","2.5","2.6","1.8","1.7","40787","2905","56434","10235","(X)","(X)","(X)","(X)","22.8","(X)"
"8600000US98154","ZCTA5 98154","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"8600000US98155","ZCTA5 98155","13602","352","3.7","1.2","1.8","0.8","4.8","1.1","5.7","1.3","8.7","1.6","12.6","1.7","16.0","2.4","21.3","1.8","11.9","1.3","13.6","1.7","94054","4473","114497","4653","27.5","(X)","(X)","(X)","(X)","(X)","9100","306","2.0","1.0","0.5","0.4","1.7","0.8","3.5","1.3","6.5","1.9","12.1","1.9","16.2","2.6","24.5","2.3","15.1","1.6","17.7","2.4","113194","5272","133534","5962","(X)","(X)","28.3","(X)","(X)","(X)","7305","326","0.7","0.6","0.4","0.4","0.8","0.5","2.2","1.1","4.7","1.7","9.8","2.0","16.1","3.0","26.3","2.8","18.4","2.0","20.7","2.7","126282","6848","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4502","400","8.5","3.2","3.9","2.0","11.7","2.9","10.4","3.4","14.1","3.3","14.5","3.5","16.1","3.6","13.2","2.9","3.0","1.5","4.6","1.9","51914","5891","69260","5754","(X)","(X)","(X)","(X)","23.3","(X)"
"8600000US98158","ZCTA5 98158","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"8600000US98164","ZCTA5 98164","129","48","0.0","23.5","14.7","21.1","0.0","23.5","14.7","23.3","0.0","23.5","0.0","23.5","9.3","15.0","9.3","15.3","14.7","22.9","37.2","28.3","157829","118132","219627","127085","27.1","(X)","(X)","(X)","(X)","(X)","44","36","0.0","46.4","0.0","46.4","0.0","46.4","0.0","46.4","0.0","46.4","0.0","46.4","27.3","46.2","0.0","46.4","0.0","46.4","72.7","46.2","250,000+","***","313086","198481","(X)","(X)","36.4","(X)","(X)","(X)","44","36","0.0","46.4","0.0","46.4","0.0","46.4","0.0","46.4","0.0","46.4","0.0","46.4","27.3","46.2","0.0","46.4","0.0","46.4","72.7","46.2","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","85","49","0.0","32.4","22.4","30.7","0.0","32.4","22.4","37.2","0.0","32.4","0.0","32.4","0.0","32.4","14.1","24.6","22.4","31.1","18.8","31.0","-","**","171247","169964","(X)","(X)","(X)","(X)","22.4","(X)"
"8600000US98166","ZCTA5 98166","8786","346","3.6","1.4","2.4","1.3","7.7","3.0","7.5","2.1","7.8","2.5","16.4","2.9","14.5","2.6","16.4","2.7","11.8","2.4","12.0","2.2","83615","6308","111517","9854","28.7","(X)","(X)","(X)","(X)","(X)","5462","349","2.5","1.7","1.6","1.4","3.7","2.4","3.7","1.6","3.6","1.5","15.1","3.5","17.9","3.5","21.6","3.5","14.6","3.0","15.6","3.4","103583","11651","134072","15033","(X)","(X)","33.2","(X)","(X)","(X)","4270","355","0.7","0.6","0.2","0.3","1.6","1.1","3.1","1.5","2.9","1.4","12.9","3.7","18.6","4.2","23.1","3.7","18.0","3.9","19.0","3.8","120859","19328","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3324","337","7.9","3.3","3.9","2.6","14.7","6.0","12.6","4.7","15.1","5.9","20.4","5.4","6.3","2.6","8.6","3.3","5.5","4.1","4.9","2.3","45324","6343","68545","9592","(X)","(X)","(X)","(X)","20.5","(X)"
"8600000US98168","ZCTA5 98168","11818","429","5.0","1.6","3.8","1.3","7.8","1.9","11.0","2.0","15.2","2.8","17.6","2.5","14.6","2.3","17.0","2.0","4.5","1.1","3.5","0.9","59120","4462","74964","4074","30.1","(X)","(X)","(X)","(X)","(X)","7412","437","3.7","1.8","2.6","1.1","5.5","1.9","12.0","2.6","17.8","3.1","16.0","2.7","14.0","2.7","20.3","2.5","4.8","1.5","3.3","1.1","63026","5443","76769","4075","(X)","(X)","33.5","(X)","(X)","(X)","4705","416","1.6","1.2","0.5","0.5","1.5","1.0","11.4","3.2","16.9","3.7","18.1","4.0","14.8","3.4","24.4","3.6","6.5","2.2","4.5","1.7","75112","8805","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4406","402","8.8","3.3","6.8","2.7","12.2","3.5","11.2","3.6","14.3","4.1","17.1","3.6","14.8","3.9","9.0","2.9","3.4","1.6","2.5","1.2","46959","5240","64777","7957","(X)","(X)","(X)","(X)","23.9","(X)"
"8600000US98174","ZCTA5 98174","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"8600000US98177","ZCTA5 98177","8280","292","3.9","1.5","1.3","0.7","3.7","1.3","4.8","1.7","6.2","1.5","12.4","2.4","9.2","1.9","18.9","2.8","13.7","2.4","25.8","2.9","123672","10045","160142","9222","26.9","(X)","(X)","(X)","(X)","(X)","5457","321","1.2","0.8","0.5","0.5","1.6","1.0","4.0","1.8","4.0","1.4","9.4","2.4","10.8","2.3","18.7","2.8","16.5","2.6","33.2","3.5","149421","10521","189373","11310","(X)","(X)","25.5","(X)","(X)","(X)","4704","305","0.3","0.3","0.6","0.6","0.3","0.4","2.4","1.3","3.4","1.4","8.5","2.6","9.1","2.4","18.9","3.0","18.6","3.0","37.9","3.8","166000","11847","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2823","295","9.0","3.9","2.8","1.7","7.8","3.2","8.0","3.4","10.8","3.3","16.9","4.9","9.6","3.6","17.1","5.6","7.8","4.5","10.2","4.5","67330","8122","97415","13712","(X)","(X)","(X)","(X)","27.5","(X)"
"8600000US98178","ZCTA5 98178","9895","409","5.0","1.9","3.3","1.7","6.7","2.0","7.7","2.4","8.2","1.8","16.4","2.4","12.7","2.5","21.9","3.5","10.1","2.4","8.0","2.0","80283","6394","98171","5724","33.7","(X)","(X)","(X)","(X)","(X)","6367","469","1.1","1.1","3.2","2.3","5.7","2.7","9.4","3.2","7.0","2.0","15.5","3.0","13.9","3.4","23.4","3.8","11.8","3.0","9.0","2.7","91868","7059","103972","6891","(X)","(X)","34.4","(X)","(X)","(X)","4175","402","0.7","0.9","0.7","0.6","2.4","1.8","6.6","3.5","7.3","2.9","17.4","3.6","12.5","3.8","26.4","4.6","14.4","4.2","11.5","3.6","104065","7119","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3528","475","12.1","5.2","4.0","2.7","9.3","3.4","6.0","2.8","11.8","4.8","19.2","5.1","9.9","4.0","16.4","5.8","6.2","3.1","5.1","3.0","55293","5570","80458","11554","(X)","(X)","(X)","(X)","30.6","(X)"
"8600000US98188","ZCTA5 98188","9217","398","4.4","1.6","2.7","1.3","9.4","2.3","9.4","2.9","14.5","2.4","18.9","3.1","13.8","2.6","16.6","3.1","5.5","1.7","4.7","1.4","60586","4392","89223","18721","29.8","(X)","(X)","(X)","(X)","(X)","5490","374","1.5","1.3","1.7","1.6","7.4","2.7","7.2","2.9","11.7","3.1","16.6","4.2","17.8","3.4","22.8","4.2","7.9","2.4","5.4","1.9","80246","5525","106237","29495","(X)","(X)","31.2","(X)","(X)","(X)","3696","389","0.4","0.6","1.2","1.6","4.4","2.6","3.7","2.1","10.4","3.5","15.9","4.4","18.8","3.8","27.0","5.3","11.2","3.6","7.0","2.5","91008","6056","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3727","378","8.6","3.7","4.0","2.1","13.8","3.8","16.3","5.4","18.8","4.1","22.4","4.5","7.5","2.8","6.2","2.6","0.9","0.8","1.5","1.1","41107","5564","55835","7224","(X)","(X)","(X)","(X)","23.0","(X)"
"8600000US98195","ZCTA5 98195","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"8600000US98198","ZCTA5 98198","14020","450","3.3","1.1","1.7","0.8","6.8","2.0","8.6","1.7","13.0","1.9","21.6","2.7","13.7","2.0","19.7","2.6","6.0","1.3","5.7","1.2","66906","5724","90677","5671","27.3","(X)","(X)","(X)","(X)","(X)","9000","356","3.8","1.9","0.9","0.8","7.2","2.9","7.4","2.4","7.6","2.0","21.6","3.8","13.6","2.7","23.1","3.1","8.1","1.9","6.7","1.7","76709","5941","97958","7751","(X)","(X)","24.8","(X)","(X)","(X)","5905","368","0.5","0.5","0.8","1.1","2.3","1.4","5.4","2.4","6.5","2.4","20.6","4.6","15.9","3.4","28.8","4.4","10.0","2.4","9.2","2.5","97728","8898","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5020","401","5.0","1.7","2.8","1.6","7.9","2.8","11.8","2.9","22.0","4.0","24.2","4.9","12.4","3.3","9.6","3.3","1.5","1.2","2.9","1.4","50313","2481","69104","8016","(X)","(X)","(X)","(X)","27.9","(X)"
